U_k,Alternative,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Result + ,Result - ,Numeric result,
1,CULagos,3,3,4,4,2,2,2,3,2,4,8,9,42.5,
,CUNorte,3,3,4,2,2,2,3,5,3,3,10,10,50,
,CUTonala,2,4,3,1,3,2,3,2,4,2,10,14,60,
2,CULagos,2,4,1,2,1,4,2,4,3,3,4,8,30,
,CUNorte,1,3,4,2,4,2,3,2,2,3,9,13,55,
,CUTonala,1,4,2,3,1,5,1,1,2,3,2,9,27.5,
3,CULagos,3,3,4,3,3,2,3,3,2,3,10,11,52.5,
,CUNorte,4,3,3,3,5,3,5,3,5,5,17,8,62.5,
,CUTonala,4,2,4,1,5,1,4,4,4,3,16,14,75,
4,CULagos,2,3,4,2,3,2,2,2,3,1,9,15,60,
,CUNorte,3,4,2,1,2,4,4,3,1,3,7,10,42.5,
,CUTonala,1,4,3,3,3,4,1,2,2,5,5,7,30,
5,CULagos,3,4,5,4,4,3,3,4,3,3,13,7,50,
,CUNorte,4,2,4,1,5,1,4,3,4,2,16,16,80,
,CUTonala,3,4,2,3,2,4,2,2,3,3,7,9,40,
6,CULagos,2,4,3,4,3,4,1,3,2,4,6,6,30,
,CUNorte,4,2,2,2,3,2,3,3,3,3,10,13,57.5,
,CUTonala,2,4,4,5,3,4,2,4,2,5,8,3,27.5,
7,CULagos,3,3,5,2,3,4,3,3,4,1,13,12,62.5,
,CUNorte,3,3,4,1,3,2,4,5,3,4,12,10,55,
,CUTonala,3,4,5,2,3,4,3,5,4,3,13,7,50,
8,CULagos,4,3,5,4,5,4,4,5,4,2,17,7,60,
,CUNorte,3,5,3,1,2,5,3,2,2,1,8,11,47.5,
,CUTonala,4,4,4,2,4,4,4,4,4,4,15,7,55,
9,CULagos,4,4,3,1,5,1,2,4,3,1,12,14,65,
,CUNorte,3,3,4,2,3,2,3,3,4,2,12,13,62.5,
,CUTonala,4,2,4,2,5,2,3,4,5,2,16,13,72.5,
10,CULagos,3,4,3,4,2,3,2,4,2,4,7,6,32.5,
,CUNorte,4,5,4,2,3,4,3,4,3,2,12,8,50,
,CUTonala,3,4,5,3,3,4,4,5,4,3,14,6,50,
11,CULagos,1,5,3,1,1,5,2,5,3,2,5,7,30,
,CUNorte,4,3,5,1,2,1,1,2,3,4,10,14,60,
,CUTonala,3,3,2,2,4,1,3,2,2,3,9,14,57.5,
12,CULagos,3,4,3,4,3,3,2,3,2,4,8,7,37.5,
,CUNorte,1,3,1,1,1,2,3,3,3,2,4,14,45,
,CUTonala,2,4,4,2,2,3,2,4,2,4,7,8,37.5,
13,CULagos,3,4,3,4,3,4,3,4,5,2,12,7,47.5,
,CUNorte,3,2,4,2,3,3,2,3,3,2,10,13,57.5,
,CUTonala,3,2,3,2,2,2,4,4,3,2,10,13,57.5,
14,CULagos,4,3,2,3,2,4,2,4,3,3,8,8,40,
,CUNorte,4,2,4,1,2,3,2,4,4,1,11,14,62.5,
,CUTonala,3,2,4,3,4,2,3,2,3,4,12,12,60,
15,CULagos,3,4,3,2,3,4,2,2,2,4,8,9,42.5,
,CUNorte,4,4,5,3,3,4,4,4,3,5,14,5,47.5,
,CUTonala,5,2,3,2,5,5,5,3,5,3,18,10,70,
