$U_k^l$,Alternative,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Result + ,Result - ,Numeric result
$U_{1}^1$,$A_1 = \{Green\}$,4,1,4,1,4,1,5,1,5,1,17,20,92.5
$U_{1}^1$,$A_2 = \{Light\}$,5,1,5,1,5,1,4,2,5,1,19,19,95
$U_{2}^1$,$A_1 = \{Green\}$,1,5,3,1,5,2,5,1,3,1,12,15,67.5
$U_{2}^1$,$A_2 = \{Light\}$,3,2,4,2,4,2,3,4,4,1,13,14,67.5
$U_{3}^1$,$A_1 = \{Green\}$,3,4,5,2,3,3,5,2,2,2,13,12,62.5
$U_{3}^1$,$A_2 = \{Light\}$,4,2,4,1,4,1,3,2,3,4,13,15,70
$U_{4}^1$,$A_1 = \{Green\}$,3,4,3,1,3,3,2,3,4,2,10,12,55
$U_{4}^1$,$A_2 = \{Light\}$,5,1,5,1,4,2,4,1,4,1,17,19,90
$U_{5}^2$,$A_1 = \{Green\}$,2,4,4,3,3,3,4,2,2,2,10,11,52.5
$U_{5}^2$,$A_2 = \{Light\}$,3,2,3,2,3,1,4,2,3,2,11,16,67.5
$U_{6}^2$,$A_1 = \{Green\}$,2,4,2,1,2,1,1,2,2,5,4,12,40
$U_{6}^2$,$A_2 = \{Light\}$,4,2,4,1,4,1,4,1,2,5,13,15,70
$U_{7}^2$,$A_1 = \{Green\}$,4,2,4,2,4,2,4,2,4,2,15,15,75
$U_{7}^2$,$A_2 = \{Light\}$,5,1,5,1,4,1,5,1,5,1,19,20,97.5
$U_{8}^2$,$A_1 = \{Green\}$,3,1,5,1,5,2,3,1,4,2,15,18,82.5
$U_{8}^2$,$A_2 = \{Light\}$,3,1,4,1,5,2,4,1,4,1,15,19,85
